Image_url,Title,Material,Item no.,Size,Price,,UOM,Box quantity
../../Perfion/Image.aspx?id=c5870a77-9d72-4ee7-84a8-05284a59443e&format=jpg&size=278x278,Drill tool,steel,0120000,3/8WW,£124.00,1,piece(s),21
../../Perfion/Image.aspx?id=54eeb992-ce53-4043-9875-bf3889129473&format=jpg&size=278x278,"Pressure pipe, 10 bar",PVC-U,7013211,50 mm,£3.70,10,piece(s),10
../../Perfion/Image.aspx?id=54eeb992-ce53-4043-9875-bf3889129473&format=jpg&size=278x278,"Pressure pipe, 10 bar",PVC-U,7013212,63 mm,£3.55,10,piece(s),10
../../Perfion/Image.aspx?id=579a620a-542c-42b0-b97e-fbd2f25ad355&format=jpg&size=278x278,"Pressure pipe according to ISO / DIN, 10 bar",PVC-U,0309161,63 mm,£2.25,6,meter,840
../../Perfion/Image.aspx?id=6ebd94c8-5c5d-45a0-a9e5-6efc2451c0ff&format=jpg&size=278x278,Sprayline pipe,PVC-U,0303250,32 mm,£4.30,1,piece(s),519
../../Perfion/Image.aspx?id=6ebd94c8-5c5d-45a0-a9e5-6efc2451c0ff&format=jpg&size=278x278,Sprayline pipe,PVC-U,0303275,32 mm,£4.30,1,piece(s),519
../../Perfion/Image.aspx?id=6ebd94c8-5c5d-45a0-a9e5-6efc2451c0ff&format=jpg&size=278x278,Sprayline pipe,PVC-U,0303290,32 mm,£4.30,1,piece(s),519
../../Perfion/Image.aspx?id=6ebd94c8-5c5d-45a0-a9e5-6efc2451c0ff&format=jpg&size=278x278,Sprayline pipe,PVC-U,0303295,32 mm,£4.30,1,piece(s),519
../../Perfion/Image.aspx?id=6ebd94c8-5c5d-45a0-a9e5-6efc2451c0ff&format=jpg&size=278x278,Sprayline pipe,PVC-U,0303291,32 mm,£4.80,1,piece(s),519
../../Perfion/Image.aspx?id=6ebd94c8-5c5d-45a0-a9e5-6efc2451c0ff&format=jpg&size=278x278,Sprayline pipe,PVC-U,0303520,32 mm,£5.75,1,piece(s),519
../../Perfion/Image.aspx?id=e7b760b3-14bd-4ecf-9774-80bc62f873bb&format=jpg&size=278x278,"Pressure pipe KIWA, 7,5 bar",PVC-U,0329158,50 mm,£1.60,5,meter,1075
../../Perfion/Image.aspx?id=e7b760b3-14bd-4ecf-9774-80bc62f873bb&format=jpg&size=278x278,"Pressure pipe KIWA, 7,5 bar",PVC-U,0329159,63 mm,£2.05,5,meter,800
../../Perfion/Image.aspx?id=e7b760b3-14bd-4ecf-9774-80bc62f873bb&format=jpg&size=278x278,"Pressure pipe KIWA, 7,5 bar",PVC-U,0329160,75 mm,£2.60,5,meter,500
../../Perfion/Image.aspx?id=e7b760b3-14bd-4ecf-9774-80bc62f873bb&format=jpg&size=278x278,"Pressure pipe KIWA, 7,5 bar",PVC-U,0329161,90 mm,£3.90,5,meter,315
../../Perfion/Image.aspx?id=e7b760b3-14bd-4ecf-9774-80bc62f873bb&format=jpg&size=278x278,"Pressure pipe KIWA, 7,5 bar",PVC-U,0329162,110 mm,£5.70,5,meter,215
../../Perfion/Image.aspx?id=e7b760b3-14bd-4ecf-9774-80bc62f873bb&format=jpg&size=278x278,"Pressure pipe KIWA, 7,5 bar",PVC-U,0329163,125 mm,£7.50,5,meter,190
../../Perfion/Image.aspx?id=e7b760b3-14bd-4ecf-9774-80bc62f873bb&format=jpg&size=278x278,"Pressure pipe KIWA, 7,5 bar",PVC-U,0329164,160 mm,£12.10,5,meter,110
../../Perfion/Image.aspx?id=e7b760b3-14bd-4ecf-9774-80bc62f873bb&format=jpg&size=278x278,"Pressure pipe KIWA, 7,5 bar",PVC-U,0329165,200 mm,£19.10,5,meter,70
../../Perfion/Image.aspx?id=e7b760b3-14bd-4ecf-9774-80bc62f873bb&format=jpg&size=278x278,"Pressure pipe KIWA, 7,5 bar",PVC-U,0329166,250 mm,£29.60,5,meter,70
../../Perfion/Image.aspx?id=e7b760b3-14bd-4ecf-9774-80bc62f873bb&format=jpg&size=278x278,"Pressure pipe KIWA, 7,5 bar",PVC-U,0329167,315 mm,£47.20,40,meter,40
../../Perfion/Image.aspx?id=21fc7913-0426-441a-ab05-302550543ca9&format=jpg&size=278x278,"Pressure pipe according to ISO / DIN, 10 bar",PVC-U,0309163,63 mm,£2.25,5,meter,700
../../Perfion/Image.aspx?id=21fc7913-0426-441a-ab05-302550543ca9&format=jpg&size=278x278,"Pressure pipe according to ISO / DIN, 10 bar",PVC-U,0309160,63 mm,£2.25,6,meter,840
../../Perfion/Image.aspx?id=21fc7913-0426-441a-ab05-302550543ca9&format=jpg&size=278x278,"Pressure pipe according to ISO / DIN, 10 bar",PVC-U,0309175,75 mm,£3.20,5,meter,500
../../Perfion/Image.aspx?id=21fc7913-0426-441a-ab05-302550543ca9&format=jpg&size=278x278,"Pressure pipe according to ISO / DIN, 10 bar",PVC-U,0309190,90 mm,£4.45,5,meter,315
../../Perfion/Image.aspx?id=2949b06a-5cb5-4aa8-bd39-cda970e2e9dd&format=jpg&size=278x278,"Pressure pipe according to ISO, 16 bar",PVC-U,0309233,110 mm,£8.50,5,meter,215
../../Perfion/Image.aspx?id=2949b06a-5cb5-4aa8-bd39-cda970e2e9dd&format=jpg&size=278x278,"Pressure pipe according to ISO, 16 bar",PVC-U,0309234,125 mm,£10.70,5,meter,190
../../Perfion/Image.aspx?id=2949b06a-5cb5-4aa8-bd39-cda970e2e9dd&format=jpg&size=278x278,"Pressure pipe according to ISO, 16 bar",PVC-U,0309235,160 mm,£17.70,5,meter,110
../../Perfion/Image.aspx?id=579a620a-542c-42b0-b97e-fbd2f25ad355&format=jpg&size=278x278,"Pressure pipe, 10 bar",PVC-U,0301985,32 mm,£0.62,2,meter,1038
../../Perfion/Image.aspx?id=579a620a-542c-42b0-b97e-fbd2f25ad355&format=jpg&size=278x278,"Pressure pipe, 10 bar",PVC-U,0301986,40 mm,£0.94,2,meter,638
../../Perfion/Image.aspx?id=579a620a-542c-42b0-b97e-fbd2f25ad355&format=jpg&size=278x278,"Pressure pipe, 10 bar",PVC-U,0301987,50 mm,£1.45,2,meter,430
../../Perfion/Image.aspx?id=579a620a-542c-42b0-b97e-fbd2f25ad355&format=jpg&size=278x278,"Pressure pipe, 10 bar",PVC-U,0301988,63 mm,£1.85,2,meter,280
../../Perfion/Image.aspx?id=579a620a-542c-42b0-b97e-fbd2f25ad355&format=jpg&size=278x278,"Pressure pipe, 10 bar",PVC-U,0301989,75 mm,£2.55,2,meter,200
